Territori,Tipus de territori,Temps,Activitats immobiliàries,Ensenyament,Equipaments culturals i recreatius,Finances i assegurances,"Manteniment, neteja i producció",Reparacions (Electrodomèstics i automòbils),"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)",Sanitat i assistència
Ciutat Meridiana,Barri,31 Des. 2022,2,5,2,7,-,3,17,4
Ciutat Meridiana,Barri,31 Des. 2024,3,5,3,8,-,2,19,4
Vallbona,Barri,31 Des. 2014,-,2,-,-,-,-,2,-
Vallbona,Barri,31 Des. 2016,-,2,1,-,-,2,2,-
Vallbona,Barri,31 Des. 2019,-,1,1,-,-,2,2,-
Vallbona,Barri,31 Des. 2022,-,1,1,-,-,2,3,-
Vallbona,Barri,31 Des. 2024,-,1,1,-,-,2,2,-
la Trinitat Vella,Barri,31 Des. 2014,-,8,-,5,1,3,23,1
la Trinitat Vella,Barri,31 Des. 2016,2,6,3,4,3,4,28,2
la Trinitat Vella,Barri,31 Des. 2019,2,8,6,3,3,4,31,2
la Trinitat Vella,Barri,31 Des. 2022,2,6,4,3,3,4,27,3
la Trinitat Vella,Barri,31 Des. 2024,1,5,5,2,4,3,28,3
Baró de Viver,Barri,31 Des. 2014,-,3,-,1,-,-,6,-
Baró de Viver,Barri,31 Des. 2016,-,4,3,-,-,-,6,1
Baró de Viver,Barri,31 Des. 2019,-,4,3,-,-,-,6,1
Baró de Viver,Barri,31 Des. 2022,-,3,3,-,-,-,9,2
Baró de Viver,Barri,31 Des. 2024,-,3,3,-,-,-,8,2
el Bon Pastor,Barri,31 Des. 2014,-,7,-,6,3,11,47,5
el Bon Pastor,Barri,31 Des. 2016,2,8,6,8,7,33,91,3
el Bon Pastor,Barri,31 Des. 2019,3,8,5,8,5,38,102,3
el Bon Pastor,Barri,31 Des. 2022,4,8,5,5,9,45,102,5
el Bon Pastor,Barri,31 Des. 2024,5,8,5,5,12,42,102,5
Sant Andreu,Districte,31 Des. 2014,21,59,7,34,25,40,229,71
